step,action
547,1
548,1
549,2
550,0
551,2
552,0
553,0
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,0
562,0
563,0
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,0
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,2
584,2
585,2
586,2
587,2
588,2
589,0
590,1
591,1
592,1
593,1
594,1
595,1
596,2
597,2
598,2
599,2
600,2
601,0
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,2
614,2
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,0
638,2
639,2
640,1
641,1
642,1
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,1
655,1
656,1
657,1
658,1
659,1
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,1
669,1
670,1
671,1
672,2
673,2
674,2
675,2
676,2
677,2
678,2
679,2
680,2
681,2
682,0
683,0
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,2
693,2
694,2
695,0
696,0
697,2
698,2
699,2
700,2
701,2
702,2
703,2
704,2
705,2
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,1
720,1
721,1
722,1
723,1
724,1
725,2
726,2
727,2
728,2
729,2
730,2
731,2
732,2
733,2
734,2
735,0
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,2
746,2
747,2
748,2
749,2
750,2
751,2
752,2
753,2
754,2
755,2
756,0
757,0
758,0
759,0
760,0
761,1
762,1
763,1
764,1
765,1
766,0
767,0
768,2
769,2
770,2
771,2
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,0
780,0
781,0
782,2
783,2
784,2
785,2
